Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,family_size,cabin_multiple,name_title,norm_fare,is_alone,title_grouped,age_missing,age_group,fare_per_person,fare_group,cabin_known,cabin_deck,ticket_prefix,ticket_has_letters,sex_pclass,age_class
0,3,male,26.0,1,2,S,4,0,Mr,3.0715352369694915,0,Mr,0,adult,0.7678838092423729,high,0,Unknown,C.A.,1,male_3,78.0
0,2,male,43.0,1,1,S,3,0,Mr,3.305053521109253,0,Mr,0,middle_age,1.1016845070364176,high,0,Unknown,F.C.C.,1,male_2,86.0
0,3,male,,0,0,Q,1,0,Mr,3.224857896545748,1,Mr,1,adult,3.224857896545748,high,0,Unknown,NONE,0,male_3,85.5
0,3,female,23.0,0,0,S,1,0,Miss,2.188856327665703,1,Miss,0,adult,2.188856327665703,medium,0,Unknown,STON/O2.,1,female_3,69.0
0,3,male,16.0,4,1,S,6,0,Mr,3.705920919968788,0,Mr,0,teen,0.6176534866614647,very_high,0,Unknown,NONE,0,male_3,48.0
1,1,female,36.0,0,2,S,3,1,Miss,4.276666119016055,0,Miss,0,middle_age,1.4255553730053518,very_high,1,B,WE/P,1,female_1,36.0
1,1,female,22.0,0,1,S,2,1,Miss,4.02535169073515,0,Miss,0,adult,2.012675845367575,very_high,1,E,NONE,0,female_1,22.0
0,3,male,19.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,57.0
1,3,female,,0,0,Q,1,0,Miss,2.1837114628556327,1,Miss,1,adult,2.1837114628556327,low,0,Unknown,NONE,0,female_3,85.5
0,3,male,47.0,0,0,S,1,0,Mr,2.302585092994046,1,Mr,0,middle_age,2.302585092994046,medium,0,Unknown,NONE,0,male_3,141.0
1,2,female,40.0,0,0,S,1,0,Mrs,2.8183982582710754,1,Mrs,0,middle_age,2.8183982582710754,high,0,Unknown,C.A.,1,female_2,80.0
0,3,female,20.0,1,0,S,2,0,Miss,2.3818582738885534,0,Miss,0,adult,1.1909291369442767,medium,0,Unknown,NONE,0,female_3,60.0
1,2,female,36.0,1,0,S,2,0,Mrs,3.295836866004329,0,Mrs,0,middle_age,1.6479184330021646,high,0,Unknown,NONE,0,female_2,72.0
0,3,male,18.0,1,1,S,3,0,Mr,2.180891922715322,0,Mr,0,teen,0.7269639742384406,low,0,Unknown,NONE,0,male_3,54.0
0,2,male,18.0,0,0,S,1,0,Mr,2.5257286443082556,1,Mr,0,teen,2.5257286443082556,medium,0,Unknown,NONE,0,male_2,36.0
1,3,male,32.0,0,0,S,1,0,Mr,4.05171190165724,1,Mr,0,adult,4.05171190165724,very_high,0,Unknown,NONE,0,male_3,96.0
0,3,male,33.0,0,0,C,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,99.0
1,1,male,35.0,0,0,C,1,0,Mr,3.3160025355989236,1,Mr,0,adult,3.3160025355989236,high,0,Unknown,NONE,0,male_1,35.0
0,1,male,64.0,1,4,S,6,3,Mr,5.575949103146316,0,Mr,0,senior,0.929324850524386,very_high,1,C,NONE,0,male_1,64.0
0,1,male,52.0,1,1,S,3,1,Mr,4.390118804571218,0,Mr,0,middle_age,1.4633729348570725,very_high,1,E,NONE,0,male_1,52.0
1,3,female,24.0,0,3,C,4,0,Mrs,3.0085645861193133,0,Mrs,0,adult,0.7521411465298283,high,0,Unknown,NONE,0,female_3,72.0
0,3,male,61.0,0,0,S,1,0,Mr,1.9792758428991135,1,Mr,0,senior,1.9792758428991135,low,0,Unknown,NONE,0,male_3,183.0
0,2,male,24.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,C.A.,1,male_2,48.0
0,3,male,43.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,middle_age,2.2027647577118348,medium,0,Unknown,A/5,1,male_3,129.0
1,2,female,34.0,0,0,S,1,1,Mrs,2.4423470353692043,1,Mrs,0,adult,2.4423470353692043,medium,1,F,C.A.,1,female_2,68.0
1,3,female,63.0,0,0,S,1,0,Mrs,2.3596740599781727,1,Mrs,0,senior,2.3596740599781727,medium,0,Unknown,NONE,0,female_3,189.0
1,1,female,24.0,0,0,C,1,1,Mlle,4.252771798816619,1,Miss,0,adult,4.252771798816619,very_high,1,B,PC,1,female_1,24.0
1,1,female,38.0,1,0,C,2,1,Mrs,4.2805931204649,0,Mrs,0,middle_age,2.14029656023245,very_high,1,C,PC,1,female_1,38.0
0,3,male,21.0,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,0,adult,2.1102132003465894,low,0,Unknown,SOTON/OQ,1,male_3,63.0
1,1,female,45.0,1,1,S,3,0,Mrs,5.11118445372147,0,Mrs,0,middle_age,1.70372815124049,very_high,0,Unknown,NONE,0,female_1,45.0
0,3,male,16.0,1,3,S,5,0,Mr,3.5660053559634015,0,Mr,0,teen,0.7132010711926803,very_high,0,Unknown,W./C.,1,male_3,48.0
1,3,male,20.0,1,0,S,2,0,Mr,2.188856327665703,0,Mr,0,adult,1.0944281638328515,medium,0,Unknown,STON/O,1,male_3,60.0
0,2,male,,0,0,C,1,0,Mr,2.775708849576025,1,Mr,1,adult,2.775708849576025,high,0,Unknown,SC/PARIS,1,male_2,57.0
0,3,female,41.0,0,5,S,6,0,Mrs,3.705920919968788,0,Mrs,0,middle_age,0.6176534866614647,very_high,0,Unknown,NONE,0,female_3,123.0
0,2,male,30.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,60.0
0,3,male,29.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,adult,2.2027647577118348,medium,0,Unknown,NONE,0,male_3,87.0
0,3,female,3.0,3,1,S,5,0,Miss,3.0944457464900235,0,Miss,0,child,0.6188891492980046,high,0,Unknown,NONE,0,female_3,9.0
1,2,male,3.0,1,1,S,3,1,Master,3.295836866004329,0,Master,0,child,1.0986122886681098,high,1,F,NONE,0,male_2,6.0
0,2,male,54.0,1,0,S,2,0,Rev,3.295836866004329,0,Rare,0,middle_age,1.6479184330021646,high,0,Unknown,NONE,0,male_2,108.0
0,3,male,28.0,2,0,S,3,0,Mr,2.188856327665703,0,Mr,0,adult,0.7296187758885676,medium,0,Unknown,NONE,0,male_3,84.0
0,3,male,36.0,0,0,S,1,0,Mr,2.139571923732859,1,Mr,0,middle_age,2.139571923732859,low,0,Unknown,NONE,0,male_3,108.0
1,1,male,48.0,0,0,S,1,1,Mr,3.3160025355989236,1,Mr,0,middle_age,3.3160025355989236,high,1,E,NONE,0,male_1,48.0
1,3,female,31.0,0,0,S,1,0,Mrs,2.270402752283094,1,Mrs,0,adult,2.270402752283094,medium,0,Unknown,NONE,0,female_3,93.0
0,3,male,26.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,78.0
0,3,male,,3,1,S,5,0,Master,3.275887339030031,0,Master,1,adult,0.6551774678060063,high,0,Unknown,NONE,0,male_3,85.5
1,3,male,0.42,0,1,C,2,0,Master,2.2530481500547457,0,Master,0,child,1.1265240750273728,medium,0,Unknown,NONE,0,male_3,1.26
0,3,female,25.0,0,0,S,1,0,Miss,2.1719067693519296,1,Miss,0,adult,2.1719067693519296,low,0,Unknown,NONE,0,female_3,75.0
0,1,male,,0,0,S,1,1,Mr,3.970291913552122,1,Mr,1,adult,3.970291913552122,very_high,1,A,NONE,0,male_1,28.5
0,3,male,38.0,0,0,S,1,0,Mr,2.2682524139135403,1,Mr,0,middle_age,2.2682524139135403,medium,0,Unknown,NONE,0,male_3,114.0
0,3,male,,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,1,adult,2.2027647577118348,medium,0,Unknown,A4.,1,male_3,85.5
1,3,male,,1,1,C,3,0,Master,2.7878344138303452,0,Master,1,adult,0.9292781379434484,high,0,Unknown,NONE,0,male_3,85.5
0,3,male,15.0,1,1,C,3,0,Mr,2.1076888046179385,0,Mr,0,teen,0.7025629348726462,low,0,Unknown,NONE,0,male_3,45.0
0,2,male,35.0,0,0,S,1,0,Mr,3.295836866004329,1,Mr,0,adult,3.295836866004329,high,0,Unknown,NONE,0,male_2,70.0
0,3,male,,0,0,S,1,0,Mr,2.1719067693519296,1,Mr,1,adult,2.1719067693519296,low,0,Unknown,NONE,0,male_3,85.5
0,1,male,24.0,0,0,C,1,1,Mr,4.384523514872469,1,Mr,0,adult,4.384523514872469,very_high,1,B,PC,1,male_1,24.0
0,1,male,36.0,0,0,C,1,1,Mr,3.716616209085536,1,Mr,0,middle_age,3.716616209085536,very_high,1,A,NONE,0,male_1,36.0
1,3,female,22.0,0,0,S,1,0,Miss,2.1719067693519296,1,Miss,0,adult,2.1719067693519296,low,0,Unknown,NONE,0,female_3,66.0
1,1,male,50.0,2,0,S,3,0,Dr,4.902678819257608,0,Rare,0,middle_age,1.6342262730858694,very_high,0,Unknown,PC,1,male_1,50.0
0,3,male,,0,0,Q,1,0,Mr,2.169053700369523,1,Mr,1,adult,2.169053700369523,low,0,Unknown,NONE,0,male_3,85.5
0,3,male,45.5,0,0,C,1,0,Mr,2.1071782966514356,1,Mr,0,middle_age,2.1071782966514356,low,0,Unknown,NONE,0,male_3,136.5
0,3,male,33.0,0,0,S,1,0,Mr,2.1719067693519296,1,Mr,0,adult,2.1719067693519296,low,0,Unknown,NONE,0,male_3,99.0
0,3,male,19.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,57.0
0,2,male,18.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,teen,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,36.0
1,3,female,16.0,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,0,teen,2.169053700369523,low,0,Unknown,NONE,0,female_3,48.0
1,1,male,,0,0,S,1,1,Mr,3.4339872044851463,1,Mr,1,adult,3.4339872044851463,high,1,D,NONE,0,male_1,28.5
1,1,male,,0,0,C,1,1,Mr,3.4242626545931514,1,Mr,1,adult,3.4242626545931514,high,1,C,NONE,0,male_1,28.5
1,1,male,48.0,1,0,C,2,1,Mr,4.353230991152628,0,Mr,0,middle_age,2.176615495576314,very_high,1,D,PC,1,male_1,48.0
0,3,male,22.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,66.0
0,1,male,29.0,0,0,S,1,1,Mr,3.4339872044851463,1,Mr,0,adult,3.4339872044851463,high,1,D,NONE,0,male_1,29.0
0,1,male,,0,0,S,1,0,Mr,3.2930552230424524,1,Mr,1,adult,3.2930552230424524,high,0,Unknown,PC,1,male_1,28.5
0,1,male,38.0,0,1,S,2,1,Mr,5.039951348430309,0,Mr,0,middle_age,2.5199756742151544,very_high,1,C,PC,1,male_1,38.0
0,3,male,44.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,middle_age,2.2027647577118348,medium,0,Unknown,NONE,0,male_3,132.0
1,2,male,3.0,1,1,S,3,0,Master,2.9831534913471307,0,Master,0,child,0.9943844971157102,high,0,Unknown,NONE,0,male_2,6.0
1,1,female,18.0,1,0,C,2,2,Mrs,5.4316456135398825,0,Mrs,0,teen,2.7158228067699413,very_high,1,C,PC,1,female_1,18.0
0,1,male,18.0,1,0,C,2,1,Mr,4.699570861409576,0,Mr,0,teen,2.349785430704788,very_high,1,C,PC,1,male_1,18.0
0,3,male,,1,0,Q,2,0,Mr,3.224857896545748,0,Mr,1,adult,1.612428948272874,high,0,Unknown,NONE,0,male_3,85.5
0,3,male,2.0,3,1,S,5,0,Master,3.0944457464900235,0,Master,0,child,0.6188891492980046,high,0,Unknown,NONE,0,male_3,6.0
1,1,male,35.0,0,0,C,1,1,Mr,6.240917354759096,1,Mr,0,adult,6.240917354759096,very_high,1,B,PC,1,male_1,35.0
0,3,male,74.0,0,0,S,1,0,Mr,2.1719067693519296,1,Mr,0,senior,2.1719067693519296,low,0,Unknown,NONE,0,male_3,222.0
1,2,male,31.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,62.0
0,3,male,28.5,0,0,S,1,0,Mr,2.8390784635086144,1,Mr,0,adult,2.8390784635086144,high,0,Unknown,NONE,0,male_3,85.5
0,1,male,56.0,0,0,C,1,1,Mr,3.4561841799918147,1,Mr,0,middle_age,3.4561841799918147,high,1,A,NONE,0,male_1,56.0
0,3,male,26.0,1,0,S,2,0,Mr,2.180891922715322,0,Mr,0,adult,1.090445961357661,low,0,Unknown,NONE,0,male_3,78.0
1,3,male,32.0,0,0,S,1,0,Mr,2.180891922715322,1,Mr,0,adult,2.180891922715322,low,0,Unknown,NONE,0,male_3,96.0
1,3,male,,0,0,C,1,0,Mr,2.1076888046179385,1,Mr,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,male_3,85.5
1,1,male,40.0,0,0,C,1,1,Mr,3.4657359027997265,1,Mr,0,middle_age,3.4657359027997265,high,1,A,NONE,0,male_1,40.0
1,1,male,27.0,0,0,C,1,1,Mr,4.353230991152628,1,Mr,0,adult,4.353230991152628,very_high,1,D,PC,1,male_1,27.0
0,3,male,,0,0,Q,1,0,Mr,2.803360380906535,1,Mr,1,adult,2.803360380906535,high,0,Unknown,NONE,0,male_3,85.5
0,3,male,38.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,middle_age,2.1855792552411137,low,0,Unknown,NONE,0,male_3,114.0
0,3,male,1.0,4,1,S,6,0,Master,3.705920919968788,0,Master,0,child,0.6176534866614647,very_high,0,Unknown,NONE,0,male_3,3.0
0,2,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_2,57.0
0,3,male,,0,0,Q,1,0,Mr,2.1666737276227077,1,Mr,1,adult,2.1666737276227077,low,0,Unknown,NONE,0,male_3,85.5
1,2,male,0.67,1,1,S,3,0,Master,2.740840023925201,0,Master,0,child,0.9136133413084003,high,0,Unknown,NONE,0,male_2,1.34
0,3,male,,1,0,Q,2,0,Mr,2.803360380906535,0,Mr,1,adult,1.4016801904532674,high,0,Unknown,NONE,0,male_3,85.5
1,3,female,2.0,0,1,S,2,0,Miss,2.586823743668066,0,Miss,0,child,1.293411871834033,medium,0,Unknown,NONE,0,female_3,6.0
1,3,female,18.0,0,0,S,1,0,Miss,2.3833998102837652,1,Miss,0,teen,2.3833998102837652,medium,0,Unknown,NONE,0,female_3,54.0
1,1,female,51.0,1,0,S,2,1,Mrs,4.368919865004903,0,Mrs,0,middle_age,2.1844599325024516,very_high,1,D,NONE,0,female_1,51.0
0,2,male,29.0,1,0,C,2,0,Mr,3.357621598945279,0,Mr,0,adult,1.6788107994726396,high,0,Unknown,SC/PARIS,1,male_2,58.0
0,3,male,49.0,0,0,S,1,0,Mr,0.0,1,Mr,0,middle_age,0.0,low,0,Unknown,NONE,1,male_3,147.0
0,3,male,24.0,0,0,S,1,0,Mr,2.3513752571634776,1,Mr,0,adult,2.3513752571634776,medium,0,Unknown,NONE,0,male_3,72.0
1,3,female,31.0,1,1,S,3,0,Mrs,3.0692150503137943,0,Mrs,0,adult,1.0230716834379314,high,0,Unknown,NONE,0,female_3,93.0
0,3,female,45.0,0,0,S,1,0,Miss,2.169053700369523,1,Miss,0,middle_age,2.169053700369523,low,0,Unknown,NONE,0,female_3,135.0
0,3,male,32.0,0,0,S,1,0,Mr,2.188856327665703,1,Mr,0,adult,2.188856327665703,medium,0,Unknown,STON/O,1,male_3,96.0
0,3,female,18.0,0,1,C,2,0,Miss,2.737880811060884,0,Miss,0,teen,1.368940405530442,medium,0,Unknown,NONE,0,female_3,54.0
0,2,female,44.0,1,0,S,2,0,Mrs,3.295836866004329,0,Mrs,0,middle_age,1.6479184330021646,high,0,Unknown,NONE,0,female_2,88.0
1,1,female,47.0,1,1,S,3,1,Mrs,3.9806942251907276,0,Mrs,0,middle_age,1.326898075063576,very_high,1,D,NONE,0,female_1,47.0
0,2,male,36.5,0,2,S,3,1,Mr,3.295836866004329,0,Mr,0,middle_age,1.0986122886681098,high,1,F,NONE,0,male_2,73.0
0,2,male,30.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,60.0
1,2,female,27.0,0,0,S,1,1,Miss,2.4423470353692043,1,Miss,0,adult,2.4423470353692043,medium,1,E,NONE,0,female_2,54.0
1,3,male,29.0,0,0,S,1,0,Mr,2.3513752571634776,1,Mr,0,adult,2.3513752571634776,medium,0,Unknown,NONE,0,male_3,87.0
0,1,male,71.0,0,0,C,1,0,Mr,3.922056501139853,1,Mr,0,senior,3.922056501139853,very_high,0,Unknown,PC,1,male_1,71.0
1,1,female,52.0,1,1,S,3,1,Mrs,4.548599834499697,0,Mrs,0,middle_age,1.5161999448332324,very_high,1,B,NONE,0,female_1,52.0
0,3,female,43.0,1,6,S,8,0,Mrs,3.8691155044168695,0,Mrs,0,middle_age,0.4836394380521087,very_high,0,Unknown,CA,1,female_3,129.0
0,3,male,22.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,66.0
1,3,female,,2,0,Q,3,0,Miss,3.188416617383492,0,Miss,1,adult,1.0628055391278306,high,0,Unknown,NONE,0,female_3,85.5
1,1,female,,0,1,S,2,1,Mrs,4.02535169073515,0,Mrs,1,adult,2.012675845367575,very_high,1,E,NONE,0,female_1,28.5
0,3,male,26.0,0,0,S,1,0,Mr,2.1855792552411137,1,Mr,0,adult,2.1855792552411137,low,0,Unknown,NONE,0,male_3,78.0
0,3,female,25.0,1,0,S,2,0,Miss,2.188856327665703,0,Miss,0,adult,1.0944281638328515,medium,0,Unknown,STON/O2.,1,female_3,75.0
0,1,male,,0,0,S,1,1,Mr,0.0,1,Mr,1,adult,0.0,low,1,B,NONE,0,male_1,28.5
1,1,female,31.0,0,2,S,3,1,Miss,5.11118445372147,0,Miss,0,adult,1.70372815124049,very_high,1,C,NONE,0,female_1,31.0
1,3,male,45.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,middle_age,2.2027647577118348,medium,0,Unknown,NONE,0,male_3,135.0
0,3,male,22.0,0,0,S,1,0,Mr,2.1102132003465894,1,Mr,0,adult,2.1102132003465894,low,0,Unknown,A/5,1,male_3,66.0
1,1,female,49.0,1,0,C,2,1,Mrs,4.353230991152628,0,Mrs,0,middle_age,2.176615495576314,very_high,1,D,PC,1,female_1,49.0
1,2,female,22.0,1,2,C,4,0,Mrs,3.7513658711253766,0,Mrs,0,adult,0.9378414677813441,very_high,0,Unknown,SC/Paris,1,female_2,44.0
1,3,female,4.0,0,2,S,3,0,Miss,3.1365805821413706,0,Miss,0,child,1.0455268607137902,high,0,Unknown,NONE,0,female_3,12.0
1,3,female,29.0,0,2,C,3,0,Mrs,2.7878344138303452,0,Mrs,0,adult,0.9292781379434484,high,0,Unknown,NONE,0,female_3,87.0
0,2,male,34.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,68.0
1,1,female,48.0,0,0,S,1,1,Mrs,3.2932111997353943,1,Mrs,0,middle_age,3.2932111997353943,high,1,D,NONE,0,female_1,48.0
0,2,female,27.0,1,0,S,2,0,Mrs,3.091042453358316,0,Mrs,0,adult,1.545521226679158,high,0,Unknown,NONE,0,female_2,54.0
1,1,female,54.0,1,0,C,2,0,Mrs,4.100989104940769,0,Mrs,0,middle_age,2.0504945524703846,very_high,0,Unknown,PC,1,female_1,54.0
1,2,male,,0,0,C,1,0,Mr,2.6988412620169004,1,Mr,1,adult,2.6988412620169004,medium,0,Unknown,SC/PARIS,1,male_2,57.0
1,2,female,19.0,1,0,S,2,0,Mrs,3.295836866004329,0,Mrs,0,adult,1.6479184330021646,high,0,Unknown,NONE,0,female_2,38.0
1,1,female,22.0,1,0,S,2,1,Mrs,4.213607983048918,0,Mrs,0,adult,2.106803991524459,very_high,1,C,NONE,0,female_1,22.0
0,1,male,45.5,0,0,S,1,1,Mr,3.3843902633457743,1,Mr,0,middle_age,3.3843902633457743,high,1,C,NONE,0,male_1,45.5
0,1,male,,0,0,C,1,0,Mr,3.357621598945279,1,Mr,1,adult,3.357621598945279,high,0,Unknown,PC,1,male_1,28.5
0,3,male,23.0,0,0,S,1,0,Mr,2.180891922715322,1,Mr,0,adult,2.180891922715322,low,0,Unknown,NONE,0,male_3,69.0
0,3,male,30.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,adult,2.2027647577118348,medium,0,Unknown,A.5.,1,male_3,90.0
0,3,male,,0,0,C,1,0,Mr,2.1076888046179385,1,Mr,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,male_3,85.5
0,2,male,34.0,1,0,S,2,0,Mr,3.091042453358316,0,Mr,0,adult,1.545521226679158,high,0,Unknown,NONE,0,male_2,68.0
1,3,male,31.0,0,0,S,1,0,Mr,2.188856327665703,1,Mr,0,adult,2.188856327665703,medium,0,Unknown,STON/O,1,male_3,93.0
0,3,male,,8,2,S,11,0,Mr,4.256321678298823,0,Mr,1,adult,0.3869383343908021,very_high,0,Unknown,CA.,1,male_3,85.5
0,3,male,40.0,1,4,S,6,0,Mr,3.3638415951183864,0,Mr,0,middle_age,0.5606402658530644,high,0,Unknown,NONE,0,male_3,120.0
1,3,female,,0,0,Q,1,0,Miss,2.169053700369523,1,Miss,1,adult,2.169053700369523,low,0,Unknown,NONE,0,female_3,85.5
0,2,male,32.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,C.A.,1,male_2,64.0
0,3,male,20.0,0,0,S,1,0,Mr,2.3248357019288655,1,Mr,0,adult,2.3248357019288655,medium,0,Unknown,NONE,0,male_3,60.0
0,1,male,27.0,0,2,C,3,1,Mr,5.358941988364472,0,Mr,0,adult,1.7863139961214907,very_high,1,C,NONE,0,male_1,27.0
1,2,female,32.5,0,0,S,1,1,Miss,2.6390573296152584,1,Miss,0,adult,2.6390573296152584,medium,1,E,NONE,0,female_2,65.0
1,1,female,44.0,0,0,C,1,1,Mrs,3.357621598945279,1,Mrs,0,middle_age,3.357621598945279,high,1,B,PC,1,female_1,44.0
0,2,male,23.0,0,0,C,1,0,Mr,2.775447133088262,1,Mr,0,adult,2.775447133088262,high,0,Unknown,SC/PARIS,1,male_2,46.0
0,3,male,34.0,1,1,S,3,0,Mr,2.7343675094195836,0,Mr,0,adult,0.9114558364731945,medium,0,Unknown,NONE,0,male_3,102.0
1,2,male,32.0,1,0,S,2,0,Mr,3.295836866004329,0,Mr,0,adult,1.6479184330021646,high,0,Unknown,NONE,0,male_2,64.0
1,1,male,4.0,0,2,S,3,1,Master,4.417131919904876,0,Master,0,child,1.4723773066349588,very_high,1,A,NONE,0,male_1,4.0
0,3,female,2.0,4,2,S,7,0,Miss,3.4742929367327062,0,Miss,0,child,0.4963275623903866,very_high,0,Unknown,NONE,0,female_3,6.0
0,2,male,,0,0,S,1,0,Mr,0.0,1,Mr,1,adult,0.0,low,0,Unknown,NONE,0,male_2,57.0
0,2,male,25.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,50.0
0,3,male,24.0,0,0,S,1,0,Mr,2.2027647577118348,1,Mr,0,adult,2.2027647577118348,medium,0,Unknown,NONE,0,male_3,72.0
0,3,male,21.0,0,0,S,1,0,Mr,2.2682524139135403,1,Mr,0,adult,2.2682524139135403,medium,0,Unknown,NONE,0,male_3,63.0
0,2,male,31.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,C.A.,1,male_2,62.0
0,2,male,54.0,0,0,S,1,0,Dr,2.70805020110221,1,Rare,0,middle_age,2.70805020110221,medium,0,Unknown,NONE,0,male_2,108.0
1,3,female,33.0,3,0,S,4,0,Mrs,2.8243506567983707,0,Mrs,0,adult,0.7060876641995927,high,0,Unknown,NONE,0,female_3,99.0
0,2,male,23.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,46.0
0,2,male,19.0,1,1,S,3,0,Mr,3.6309854756950335,0,Mr,0,adult,1.2103284918983446,very_high,0,Unknown,C.A.,1,male_2,38.0
0,3,male,65.0,0,0,Q,1,0,Mr,2.169053700369523,1,Mr,0,senior,2.169053700369523,low,0,Unknown,NONE,0,male_3,195.0
0,3,male,,1,0,S,2,0,Mr,3.0429354648621407,0,Mr,1,adult,1.5214677324310704,high,0,Unknown,NONE,0,male_3,85.5
1,2,female,42.0,0,0,S,1,0,Mrs,2.6390573296152584,1,Mrs,0,middle_age,2.6390573296152584,medium,0,Unknown,NONE,0,female_2,84.0
0,2,male,18.0,0,0,S,1,0,Mr,2.5257286443082556,1,Mr,0,teen,2.5257286443082556,medium,0,Unknown,NONE,0,male_2,36.0
0,2,male,27.0,0,0,S,1,0,Mr,2.6390573296152584,1,Mr,0,adult,2.6390573296152584,medium,0,Unknown,NONE,0,male_2,54.0
0,1,male,54.0,0,1,S,2,1,Mr,4.360387947851531,0,Mr,0,middle_age,2.1801939739257654,very_high,1,D,NONE,0,male_1,54.0
0,3,male,,0,0,C,1,0,Mr,2.1076888046179385,1,Mr,1,adult,2.1076888046179385,low,0,Unknown,NONE,0,male_3,85.5
0,1,male,47.0,0,0,S,1,1,Mr,3.970291913552122,1,Mr,0,middle_age,3.970291913552122,very_high,1,C,NONE,0,male_1,47.0
0,3,male,11.0,5,2,S,8,0,Master,3.8691155044168695,0,Master,0,child,0.4836394380521087,very_high,0,Unknown,CA,1,male_3,33.0
0,2,male,21.0,2,0,S,3,0,Mr,4.310799125385514,0,Mr,0,adult,1.4369330417951713,very_high,0,Unknown,S.O.C.,1,male_2,42.0
0,2,male,29.0,0,0,S,1,0,Mr,2.4423470353692043,1,Mr,0,adult,2.4423470353692043,medium,0,Unknown,W./C.,1,male_2,58.0
0,3,male,39.0,0,0,S,1,0,Mr,3.224857896545748,1,Mr,0,middle_age,3.224857896545748,high,0,Unknown,A/4,1,male_3,117.0
0,3,female,39.0,0,5,Q,6,0,Mrs,3.405355391810819,0,Mrs,0,middle_age,0.5675592319684698,high,0,Unknown,NONE,0,female_3,117.0
0,3,male,36.0,1,0,S,2,0,Mr,2.806386101823072,0,Mr,0,middle_age,1.403193050911536,high,0,Unknown,NONE,0,male_3,108.0
1,1,female,17.0,1,0,C,2,1,Mrs,4.699570861409576,0,Mrs,0,teen,2.349785430704788,very_high,1,C,PC,1,female_1,17.0
0,3,male,,0,0,S,1,0,Mr,2.2682524139135403,1,Mr,1,adult,2.2682524139135403,medium,0,Unknown,NONE,0,male_3,85.5
0,3,female,11.0,4,2,S,7,0,Miss,3.4742929367327062,0,Miss,0,child,0.4963275623903866,very_high,0,Unknown,NONE,0,female_3,33.0
0,3,female,47.0,1,0,S,2,0,Mrs,2.740840023925201,0,Mrs,0,middle_age,1.3704200119626004,high,0,Unknown,A/5.,1,female_3,141.0
0,1,male,,0,0,S,1,1,Mr,3.295836866004329,1,Mr,1,adult,3.295836866004329,high,1,A,NONE,0,male_1,28.5
1,3,female,38.0,1,5,S,7,0,Mrs,3.4777725458882283,0,Mrs,0,middle_age,0.496824649412604,very_high,0,Unknown,NONE,0,female_3,114.0
1,2,female,,0,0,Q,1,1,Miss,2.5915163848462583,1,Miss,1,adult,2.5915163848462583,medium,1,E,NONE,0,female_2,57.0
